id,date,text,username,likes,retweets,replies,url,query,is_synthetic,is_retweet,cleaned_text,hashtags,mentions,word_count,char_count,total_engagement,engagement_tier,year,month,month_name,day_of_week,hour,is_weekend,period
874052,2020-06-11,Wikipedia is still the best source for quick facts about machine learning,user_8273,264,175,69,https://twitter.com/user_8273/status/100000,wikipedia,True,False,Wikipedia is still the best source for quick facts about machine learning,,,12,73,508,low,2020,6,June,Thursday,0,False,pre-ChatGPT
874053,2023-11-13,ChatGPT vs Wikipedia — which do you trust more for politics?,user_7629,130,12,9,https://twitter.com/user_7629/status/100001,wikipedia,True,False,ChatGPT vs Wikipedia which do you trust more for politics?,,,10,58,151,low,2023,11,November,Monday,0,False,post-ChatGPT
874054,2023-04-09,Just edited a education article on Wikipedia. Community effort rocks.,user_6024,114,79,75,https://twitter.com/user_6024/status/100002,wikipedia,True,False,Just edited a education article on Wikipedia. Community effort rocks.,,,10,69,268,low,2023,4,April,Sunday,0,True,post-ChatGPT
874055,2022-03-11,Wikipedia's health page is completely wrong and biased.,user_8976,161,91,10,https://twitter.com/user_8976/status/100003,wikipedia,True,False,Wikipedia's health page is completely wrong and biased.,,,8,55,262,low,2022,3,March,Friday,0,False,pre-ChatGPT
874056,2022-03-01,Donated to Wikimedia today — open source deserves accurate info free for all,user_2154,298,159,5,https://twitter.com/user_2154/status/100004,wikipedia,True,False,Donated to Wikimedia today open source deserves accurate info free for all,,,12,74,462,low,2022,3,March,Tuesday,0,False,pre-ChatGPT
874057,2024-04-15,AI is replacing Wikipedia for science lookups tbh,user_9288,121,25,11,https://twitter.com/user_9288/status/100005,wikipedia,True,False,AI is replacing Wikipedia for science lookups tbh,,,8,49,157,low,2024,4,April,Monday,0,False,post-ChatGPT
874058,2020-06-05,The history Wikipedia article needs serious updating,user_8651,457,86,45,https://twitter.com/user_8651/status/100006,wikipedia,True,False,The history Wikipedia article needs serious updating,,,7,52,588,medium,2020,6,June,Friday,0,False,pre-ChatGPT
874059,2023-06-26,Wikipedia editors are unsung heroes keeping ChatGPT info accurate,user_5532,239,30,61,https://twitter.com/user_5532/status/100007,wikipedia,True,False,Wikipedia editors are unsung heroes keeping ChatGPT info accurate,,,9,65,330,low,2023,6,June,Monday,0,False,post-ChatGPT
874060,2021-01-02,Can't believe how detailed the Wikipedia article on open source is 😮,user_7599,431,157,40,https://twitter.com/user_7599/status/100008,wikipedia,True,False,Can't believe how detailed the Wikipedia article on open source is,,,11,66,628,high,2021,1,January,Saturday,0,True,pre-ChatGPT
874061,2020-06-20,Wikipedia fundraising again lol — ChatGPT info should be paid for,user_5681,341,126,12,https://twitter.com/user_5681/status/100009,wikipedia,True,False,Wikipedia fundraising again lol ChatGPT info should be paid for,,,10,63,479,low,2020,6,June,Saturday,0,True,pre-ChatGPT
874062,2022-08-18,Wikipedia is still the best source for quick facts about education,user_3418,166,99,19,https://twitter.com/user_3418/status/100010,wikipedia,True,False,Wikipedia is still the best source for quick facts about education,,,11,66,284,low,2022,8,August,Thursday,0,False,pre-ChatGPT
874063,2024-11-15,ChatGPT vs Wikipedia — which do you trust more for technology?,user_8198,114,78,85,https://twitter.com/user_8198/status/100011,wikipedia,True,False,ChatGPT vs Wikipedia which do you trust more for technology?,,,10,60,277,low,2024,11,November,Friday,0,False,post-ChatGPT
874064,2023-09-04,Just edited a health article on Wikipedia. Community effort rocks.,user_3213,371,30,96,https://twitter.com/user_3213/status/100012,wikipedia,True,False,Just edited a health article on Wikipedia. Community effort rocks.,,,10,66,497,low,2023,9,September,Monday,0,False,post-ChatGPT
874065,2023-10-21,Wikipedia's climate page is completely wrong and biased.,user_3829,165,184,75,https://twitter.com/user_3829/status/100013,wikipedia,True,False,Wikipedia's climate page is completely wrong and biased.,,,8,56,424,low,2023,10,October,Saturday,0,True,post-ChatGPT
874066,2023-08-02,Donated to Wikimedia today — education deserves accurate info free for all,user_5673,123,129,10,https://twitter.com/user_5673/status/100014,wikipedia,True,False,Donated to Wikimedia today education deserves accurate info free for all,,,11,72,262,low,2023,8,August,Wednesday,0,False,post-ChatGPT
