id,date,text,username,likes,retweets,replies,url,query,is_synthetic,is_retweet,combined_text,hashtags,mentions,word_count,char_count,total_engagement,engagement_tier,year,month,month_name,day_of_week,hour,is_weekend,period,vader_compound,vader_pos,vader_neg,vader_neu,vader_label,roberta_label,roberta_score,roberta_pos,roberta_neu,roberta_neg,roberta_numeric,roberta_continuous,high_confidence,has_body,vader_roberta_agree,disagreement_type
874052,2020-06-11,Wikipedia is still the best source for quick facts about machine learning,user_8273,264,175,69,https://twitter.com/user_8273/status/100000,wikipedia,True,False,Wikipedia is still the best source for quick facts about machine learning,,,12,73,508,low,2020,6,June,Thursday,0,False,pre-ChatGPT,0.6369,0.276,0.0,0.724,positive,positive,0.9451046586036682,0.9451046586036682,0.05047722905874252,0.004418123513460159,1,0.940686535090208,True,True,True,agree
874053,2023-11-13,ChatGPT vs Wikipedia — which do you trust more for politics?,user_7629,130,12,9,https://twitter.com/user_7629/status/100001,wikipedia,True,False,ChatGPT vs Wikipedia which do you trust more for politics?,,,10,58,151,low,2023,11,November,Monday,0,False,post-ChatGPT,0.5106,0.268,0.0,0.732,positive,neutral,0.8601012825965881,0.08665254712104797,0.8601012825965881,0.053246207535266876,0,0.0334063395857811,True,True,False,"vader=positive, roberta=neutral"
874054,2023-04-09,Just edited a education article on Wikipedia. Community effort rocks.,user_6024,114,79,75,https://twitter.com/user_6024/status/100002,wikipedia,True,False,Just edited a education article on Wikipedia. Community effort rocks.,,,10,69,268,low,2023,4,April,Sunday,0,True,post-ChatGPT,0.0,0.0,0.0,1.0,neutral,positive,0.8889889121055603,0.8889889121055603,0.10240407288074493,0.00860696379095316,1,0.8803819483146071,True,True,False,"vader=neutral, roberta=positive"
874055,2022-03-11,Wikipedia's health page is completely wrong and biased.,user_8976,161,91,10,https://twitter.com/user_8976/status/100003,wikipedia,True,False,Wikipedia's health page is completely wrong and biased.,,,8,55,262,low,2022,3,March,Friday,0,False,pre-ChatGPT,-0.6962,0.0,0.49,0.51,negative,negative,0.9076733589172363,0.007174988742917776,0.08515173196792603,0.9076733589172363,-1,-0.9004983701743186,True,True,True,agree
874056,2022-03-01,Donated to Wikimedia today — open source deserves accurate info free for all,user_2154,298,159,5,https://twitter.com/user_2154/status/100004,wikipedia,True,False,Donated to Wikimedia today open source deserves accurate info free for all,,,12,74,462,low,2022,3,March,Tuesday,0,False,pre-ChatGPT,0.5106,0.231,0.0,0.769,positive,positive,0.5300309062004089,0.5300309062004089,0.45136165618896484,0.01860744319856167,1,0.5114234630018473,False,True,True,agree
874057,2024-04-15,AI is replacing Wikipedia for science lookups tbh,user_9288,121,25,11,https://twitter.com/user_9288/status/100005,wikipedia,True,False,AI is replacing Wikipedia for science lookups tbh,,,8,49,157,low,2024,4,April,Monday,0,False,post-ChatGPT,0.0,0.0,0.0,1.0,neutral,neutral,0.6967642307281494,0.1328711062669754,0.6967642307281494,0.17036457359790802,0,-0.03749346733093262,True,True,True,agree
874058,2020-06-05,The history Wikipedia article needs serious updating,user_8651,457,86,45,https://twitter.com/user_8651/status/100006,wikipedia,True,False,The history Wikipedia article needs serious updating,,,7,52,588,medium,2020,6,June,Friday,0,False,pre-ChatGPT,-0.0772,0.0,0.178,0.822,negative,negative,0.6696316003799438,0.025567499920725822,0.30480092763900757,0.6696316003799438,-1,-0.644064100459218,True,True,True,agree
874059,2023-06-26,Wikipedia editors are unsung heroes keeping ChatGPT info accurate,user_5532,239,30,61,https://twitter.com/user_5532/status/100007,wikipedia,True,False,Wikipedia editors are unsung heroes keeping ChatGPT info accurate,,,9,65,330,low,2023,6,June,Monday,0,False,post-ChatGPT,0.5106,0.292,0.0,0.708,positive,positive,0.7953734993934631,0.7953734993934631,0.1820744425058365,0.022552059963345528,1,0.7728214394301176,True,True,True,agree
874060,2021-01-02,Can't believe how detailed the Wikipedia article on open source is 😮,user_7599,431,157,40,https://twitter.com/user_7599/status/100008,wikipedia,True,False,Can't believe how detailed the Wikipedia article on open source is,,,11,66,628,high,2021,1,January,Saturday,0,True,pre-ChatGPT,0.0,0.0,0.0,1.0,neutral,positive,0.8895424008369446,0.8895424008369446,0.09775178134441376,0.0127057870849967,1,0.8768366137519479,True,True,False,"vader=neutral, roberta=positive"
874061,2020-06-20,Wikipedia fundraising again lol — ChatGPT info should be paid for,user_5681,341,126,12,https://twitter.com/user_5681/status/100009,wikipedia,True,False,Wikipedia fundraising again lol ChatGPT info should be paid for,,,10,63,479,low,2020,6,June,Saturday,0,True,pre-ChatGPT,0.4215,0.237,0.0,0.763,positive,negative,0.6072354316711426,0.03998700901865959,0.35277754068374634,0.6072354316711426,-1,-0.567248422652483,False,True,False,"vader=positive, roberta=negative"
874062,2022-08-18,Wikipedia is still the best source for quick facts about education,user_3418,166,99,19,https://twitter.com/user_3418/status/100010,wikipedia,True,False,Wikipedia is still the best source for quick facts about education,,,11,66,284,low,2022,8,August,Thursday,0,False,pre-ChatGPT,0.6369,0.296,0.0,0.704,positive,positive,0.9096727967262268,0.9096727967262268,0.08402813225984573,0.006299028173089027,1,0.9033737685531378,True,True,True,agree
874063,2024-11-15,ChatGPT vs Wikipedia — which do you trust more for technology?,user_8198,114,78,85,https://twitter.com/user_8198/status/100011,wikipedia,True,False,ChatGPT vs Wikipedia which do you trust more for technology?,,,10,60,277,low,2024,11,November,Friday,0,False,post-ChatGPT,0.5106,0.268,0.0,0.732,positive,neutral,0.7483276128768921,0.2322426289319992,0.7483276128768921,0.019429733976721764,0,0.21281289495527744,True,True,False,"vader=positive, roberta=neutral"
874064,2023-09-04,Just edited a health article on Wikipedia. Community effort rocks.,user_3213,371,30,96,https://twitter.com/user_3213/status/100012,wikipedia,True,False,Just edited a health article on Wikipedia. Community effort rocks.,,,10,66,497,low,2023,9,September,Monday,0,False,post-ChatGPT,0.0,0.0,0.0,1.0,neutral,positive,0.895675778388977,0.895675778388977,0.09576015174388885,0.008564074523746967,1,0.8871117038652301,True,True,False,"vader=neutral, roberta=positive"
874065,2023-10-21,Wikipedia's climate page is completely wrong and biased.,user_3829,165,184,75,https://twitter.com/user_3829/status/100013,wikipedia,True,False,Wikipedia's climate page is completely wrong and biased.,,,8,56,424,low,2023,10,October,Saturday,0,True,post-ChatGPT,-0.6962,0.0,0.49,0.51,negative,negative,0.9035791158676147,0.007485983893275261,0.08893492817878723,0.9035791158676147,-1,-0.8960931319743395,True,True,True,agree
874066,2023-08-02,Donated to Wikimedia today — education deserves accurate info free for all,user_5673,123,129,10,https://twitter.com/user_5673/status/100014,wikipedia,True,False,Donated to Wikimedia today education deserves accurate info free for all,,,11,72,262,low,2023,8,August,Wednesday,0,False,post-ChatGPT,0.5106,0.248,0.0,0.752,positive,positive,0.5513575673103333,0.5513575673103333,0.4266223907470703,0.02201995998620987,1,0.5293376073241234,False,True,True,agree
874067,2023-12-05,AI is replacing Wikipedia for machine learning lookups tbh,user_8535,465,63,81,https://twitter.com/user_8535/status/100015,wikipedia,True,False,AI is replacing Wikipedia for machine learning lookups tbh,,,9,58,609,high,2023,12,December,Tuesday,0,False,post-ChatGPT,0.0,0.0,0.0,1.0,neutral,neutral,0.7205501198768616,0.09425217658281326,0.7205501198768616,0.18519766628742218,0,-0.09094548970460892,True,True,True,agree
874068,2022-07-25,The health Wikipedia article needs serious updating,user_4454,241,82,69,https://twitter.com/user_4454/status/100016,wikipedia,True,False,The health Wikipedia article needs serious updating,,,7,51,392,low,2022,7,July,Monday,0,False,pre-ChatGPT,-0.0772,0.0,0.178,0.822,negative,negative,0.6597046852111816,0.03740198165178299,0.30289337038993835,0.6597046852111816,-1,-0.6223027035593987,True,True,True,agree
874069,2020-08-21,Wikipedia editors are unsung heroes keeping artificial intelligence info accurate,user_5446,24,145,52,https://twitter.com/user_5446/status/100017,wikipedia,True,False,Wikipedia editors are unsung heroes keeping artificial intelligence info accurate,,,10,81,221,low,2020,8,August,Friday,0,False,pre-ChatGPT,0.7506,0.444,0.0,0.556,positive,positive,0.7724699378013611,0.7724699378013611,0.20305266976356506,0.02447734959423542,1,0.7479925882071257,True,True,True,agree
874070,2024-03-12,Can't believe how detailed the Wikipedia article on science is 😮,user_1374,247,143,14,https://twitter.com/user_1374/status/100018,wikipedia,True,False,Can't believe how detailed the Wikipedia article on science is,,,10,62,404,low,2024,3,March,Tuesday,0,False,post-ChatGPT,0.0,0.0,0.0,1.0,neutral,positive,0.8529669046401978,0.8529669046401978,0.12777063250541687,0.019262470304965973,1,0.8337044343352318,True,True,False,"vader=neutral, roberta=positive"
874071,2022-04-01,Wikipedia fundraising again lol — politics info should be paid for,user_2042,230,92,99,https://twitter.com/user_2042/status/100019,wikipedia,True,False,Wikipedia fundraising again lol politics info should be paid for,,,10,64,421,low,2022,4,April,Friday,0,False,pre-ChatGPT,0.4215,0.237,0.0,0.763,positive,negative,0.706611692905426,0.028706075623631477,0.26468226313591003,0.706611692905426,-1,-0.6779056172817945,True,True,False,"vader=positive, roberta=negative"
874072,2022-07-02,Wikipedia is still the best source for quick facts about knowledge,user_1503,431,60,44,https://twitter.com/user_1503/status/100020,wikipedia,True,False,Wikipedia is still the best source for quick facts about knowledge,,,11,66,535,medium,2022,7,July,Saturday,0,True,pre-ChatGPT,0.6369,0.296,0.0,0.704,positive,positive,0.9093401432037354,0.9093401432037354,0.0835752934217453,0.0070846495218575,1,0.9022554936818779,True,True,True,agree
874073,2021-11-07,ChatGPT vs Wikipedia — which do you trust more for machine learning?,user_1648,355,131,4,https://twitter.com/user_1648/status/100021,wikipedia,True,False,ChatGPT vs Wikipedia which do you trust more for machine learning?,,,11,66,490,low,2021,11,November,Sunday,0,True,pre-ChatGPT,0.5106,0.248,0.0,0.752,positive,neutral,0.7664448618888855,0.21524906158447266,0.7664448618888855,0.018306072801351547,0,0.1969429887831211,True,True,False,"vader=positive, roberta=neutral"
874074,2020-11-29,Just edited a ChatGPT article on Wikipedia. Community effort rocks.,user_8815,95,131,20,https://twitter.com/user_8815/status/100022,wikipedia,True,False,Just edited a ChatGPT article on Wikipedia. Community effort rocks.,,,10,67,246,low,2020,11,November,Sunday,0,True,pre-ChatGPT,0.0,0.0,0.0,1.0,neutral,positive,0.906329333782196,0.906329333782196,0.08736885339021683,0.006301863584667444,1,0.9000274701975286,True,True,False,"vader=neutral, roberta=positive"
874075,2024-08-18,Wikipedia's climate page is completely wrong and biased.,user_8577,75,119,40,https://twitter.com/user_8577/status/100023,wikipedia,True,False,Wikipedia's climate page is completely wrong and biased.,,,8,56,234,low,2024,8,August,Sunday,0,True,post-ChatGPT,-0.6962,0.0,0.49,0.51,negative,negative,0.9035791158676147,0.007485983893275261,0.08893492817878723,0.9035791158676147,-1,-0.8960931319743395,True,True,True,agree
874076,2023-11-27,Donated to Wikimedia today — open source deserves accurate info free for all,user_8396,301,14,6,https://twitter.com/user_8396/status/100024,wikipedia,True,False,Donated to Wikimedia today open source deserves accurate info free for all,,,12,74,321,low,2023,11,November,Monday,0,False,post-ChatGPT,0.5106,0.231,0.0,0.769,positive,positive,0.5300309062004089,0.5300309062004089,0.45136165618896484,0.01860744319856167,1,0.5114234630018473,False,True,True,agree
874077,2023-03-21,AI is replacing Wikipedia for open source lookups tbh,user_1500,23,94,32,https://twitter.com/user_1500/status/100025,wikipedia,True,False,AI is replacing Wikipedia for open source lookups tbh,,,9,53,149,low,2023,3,March,Tuesday,0,False,post-ChatGPT,0.0,0.0,0.0,1.0,neutral,neutral,0.7186716198921204,0.11753597110509872,0.7186716198921204,0.16379250586032867,0,-0.04625653475522995,True,True,True,agree
874078,2022-01-04,The education Wikipedia article needs serious updating,user_1698,159,122,46,https://twitter.com/user_1698/status/100026,wikipedia,True,False,The education Wikipedia article needs serious updating,,,7,54,327,low,2022,1,January,Tuesday,0,False,pre-ChatGPT,-0.0772,0.0,0.178,0.822,negative,negative,0.6794460415840149,0.028095176443457603,0.29245877265930176,0.6794460415840149,-1,-0.6513508651405573,True,True,True,agree
874079,2024-02-10,Wikipedia editors are unsung heroes keeping machine learning info accurate,user_3525,69,190,94,https://twitter.com/user_3525/status/100027,wikipedia,True,False,Wikipedia editors are unsung heroes keeping machine learning info accurate,,,10,74,353,low,2024,2,February,Saturday,0,True,post-ChatGPT,0.5106,0.268,0.0,0.732,positive,positive,0.8601141571998596,0.8601141571998596,0.1260819286108017,0.013803939335048199,1,0.8463102178648114,True,True,True,agree
874080,2022-09-22,Can't believe how detailed the Wikipedia article on health is 😮,user_6087,10,105,8,https://twitter.com/user_6087/status/100028,wikipedia,True,False,Can't believe how detailed the Wikipedia article on health is,,,10,61,123,low,2022,9,September,Thursday,0,False,pre-ChatGPT,0.0,0.0,0.0,1.0,neutral,positive,0.8077298998832703,0.8077298998832703,0.16760046780109406,0.024669669568538666,1,0.7830602303147316,True,True,False,"vader=neutral, roberta=positive"
874081,2022-03-20,Wikipedia fundraising again lol — education info should be paid for,user_4006,459,68,57,https://twitter.com/user_4006/status/100029,wikipedia,True,False,Wikipedia fundraising again lol education info should be paid for,,,10,65,584,medium,2022,3,March,Sunday,0,True,pre-ChatGPT,0.4215,0.237,0.0,0.763,positive,negative,0.6855818629264832,0.030967071652412415,0.283451110124588,0.6855818629264832,-1,-0.6546147912740707,True,True,False,"vader=positive, roberta=negative"
874082,2022-04-02,Wikipedia is still the best source for quick facts about politics,user_5387,44,111,91,https://twitter.com/user_5387/status/100030,wikipedia,True,False,Wikipedia is still the best source for quick facts about politics,,,11,65,246,low,2022,4,April,Saturday,0,True,pre-ChatGPT,0.6369,0.296,0.0,0.704,positive,positive,0.833290159702301,0.833290159702301,0.15351377427577972,0.013196068815886974,1,0.820094090886414,True,True,True,agree
874083,2021-02-18,ChatGPT vs Wikipedia — which do you trust more for machine learning?,user_2556,4,35,80,https://twitter.com/user_2556/status/100031,wikipedia,True,False,ChatGPT vs Wikipedia which do you trust more for machine learning?,,,11,66,119,low,2021,2,February,Thursday,0,False,pre-ChatGPT,0.5106,0.248,0.0,0.752,positive,neutral,0.7664448618888855,0.21524906158447266,0.7664448618888855,0.018306072801351547,0,0.1969429887831211,True,True,False,"vader=positive, roberta=neutral"
874084,2020-06-17,Just edited a machine learning article on Wikipedia. Community effort rocks.,user_7576,466,18,92,https://twitter.com/user_7576/status/100032,wikipedia,True,False,Just edited a machine learning article on Wikipedia. Community effort rocks.,,,11,76,576,medium,2020,6,June,Wednesday,0,False,pre-ChatGPT,0.0,0.0,0.0,1.0,neutral,positive,0.923403799533844,0.923403799533844,0.07059769332408905,0.005998591426759958,1,0.917405208107084,True,True,False,"vader=neutral, roberta=positive"
874085,2022-10-09,Wikipedia's open source page is completely wrong and biased.,user_3824,94,135,17,https://twitter.com/user_3824/status/100033,wikipedia,True,False,Wikipedia's open source page is completely wrong and biased.,,,9,60,246,low,2022,10,October,Sunday,0,True,pre-ChatGPT,-0.6962,0.0,0.451,0.549,negative,negative,0.9127808213233948,0.006487044971436262,0.08073216676712036,0.9127808213233948,-1,-0.9062937763519585,True,True,True,agree
874086,2024-06-08,Donated to Wikimedia today — history deserves accurate info free for all,user_1598,408,197,80,https://twitter.com/user_1598/status/100034,wikipedia,True,False,Donated to Wikimedia today history deserves accurate info free for all,,,11,70,685,high,2024,6,June,Saturday,0,True,post-ChatGPT,0.5106,0.248,0.0,0.752,positive,neutral,0.5366970896720886,0.43991902470588684,0.5366970896720886,0.02338389866054058,0,0.41653512604534626,False,True,False,"vader=positive, roberta=neutral"
