id,date,text,username,likes,retweets,replies,url,query,is_synthetic
874052,2020-06-11,Wikipedia is still the best source for quick facts about machine learning,user_8273,264,175,69,https://twitter.com/user_8273/status/100000,wikipedia,True
874053,2023-11-13,ChatGPT vs Wikipedia — which do you trust more for politics?,user_7629,130,12,9,https://twitter.com/user_7629/status/100001,wikipedia,True
874054,2023-04-09,Just edited a education article on Wikipedia. Community effort rocks.,user_6024,114,79,75,https://twitter.com/user_6024/status/100002,wikipedia,True
874055,2022-03-11,Wikipedia's health page is completely wrong and biased.,user_8976,161,91,10,https://twitter.com/user_8976/status/100003,wikipedia,True
874056,2022-03-01,Donated to Wikimedia today — open source deserves accurate info free for all,user_2154,298,159,5,https://twitter.com/user_2154/status/100004,wikipedia,True
874057,2024-04-15,AI is replacing Wikipedia for science lookups tbh,user_9288,121,25,11,https://twitter.com/user_9288/status/100005,wikipedia,True
874058,2020-06-05,The history Wikipedia article needs serious updating,user_8651,457,86,45,https://twitter.com/user_8651/status/100006,wikipedia,True
874059,2023-06-26,Wikipedia editors are unsung heroes keeping ChatGPT info accurate,user_5532,239,30,61,https://twitter.com/user_5532/status/100007,wikipedia,True
874060,2021-01-02,Can't believe how detailed the Wikipedia article on open source is 😮,user_7599,431,157,40,https://twitter.com/user_7599/status/100008,wikipedia,True
874061,2020-06-20,Wikipedia fundraising again lol — ChatGPT info should be paid for,user_5681,341,126,12,https://twitter.com/user_5681/status/100009,wikipedia,True
874062,2022-08-18,Wikipedia is still the best source for quick facts about education,user_3418,166,99,19,https://twitter.com/user_3418/status/100010,wikipedia,True
874063,2024-11-15,ChatGPT vs Wikipedia — which do you trust more for technology?,user_8198,114,78,85,https://twitter.com/user_8198/status/100011,wikipedia,True
874064,2023-09-04,Just edited a health article on Wikipedia. Community effort rocks.,user_3213,371,30,96,https://twitter.com/user_3213/status/100012,wikipedia,True
874065,2023-10-21,Wikipedia's climate page is completely wrong and biased.,user_3829,165,184,75,https://twitter.com/user_3829/status/100013,wikipedia,True
874066,2023-08-02,Donated to Wikimedia today — education deserves accurate info free for all,user_5673,123,129,10,https://twitter.com/user_5673/status/100014,wikipedia,True
874067,2023-12-05,AI is replacing Wikipedia for machine learning lookups tbh,user_8535,465,63,81,https://twitter.com/user_8535/status/100015,wikipedia,True
874068,2022-07-25,The health Wikipedia article needs serious updating,user_4454,241,82,69,https://twitter.com/user_4454/status/100016,wikipedia,True
874069,2020-08-21,Wikipedia editors are unsung heroes keeping artificial intelligence info accurate,user_5446,24,145,52,https://twitter.com/user_5446/status/100017,wikipedia,True
874070,2024-03-12,Can't believe how detailed the Wikipedia article on science is 😮,user_1374,247,143,14,https://twitter.com/user_1374/status/100018,wikipedia,True
874071,2022-04-01,Wikipedia fundraising again lol — politics info should be paid for,user_2042,230,92,99,https://twitter.com/user_2042/status/100019,wikipedia,True
874072,2022-07-02,Wikipedia is still the best source for quick facts about knowledge,user_1503,431,60,44,https://twitter.com/user_1503/status/100020,wikipedia,True
874073,2021-11-07,ChatGPT vs Wikipedia — which do you trust more for machine learning?,user_1648,355,131,4,https://twitter.com/user_1648/status/100021,wikipedia,True
874074,2020-11-29,Just edited a ChatGPT article on Wikipedia. Community effort rocks.,user_8815,95,131,20,https://twitter.com/user_8815/status/100022,wikipedia,True
874075,2024-08-18,Wikipedia's climate page is completely wrong and biased.,user_8577,75,119,40,https://twitter.com/user_8577/status/100023,wikipedia,True
874076,2023-11-27,Donated to Wikimedia today — open source deserves accurate info free for all,user_8396,301,14,6,https://twitter.com/user_8396/status/100024,wikipedia,True
874077,2023-03-21,AI is replacing Wikipedia for open source lookups tbh,user_1500,23,94,32,https://twitter.com/user_1500/status/100025,wikipedia,True
874078,2022-01-04,The education Wikipedia article needs serious updating,user_1698,159,122,46,https://twitter.com/user_1698/status/100026,wikipedia,True
874079,2024-02-10,Wikipedia editors are unsung heroes keeping machine learning info accurate,user_3525,69,190,94,https://twitter.com/user_3525/status/100027,wikipedia,True
874080,2022-09-22,Can't believe how detailed the Wikipedia article on health is 😮,user_6087,10,105,8,https://twitter.com/user_6087/status/100028,wikipedia,True
874081,2022-03-20,Wikipedia fundraising again lol — education info should be paid for,user_4006,459,68,57,https://twitter.com/user_4006/status/100029,wikipedia,True
874082,2022-04-02,Wikipedia is still the best source for quick facts about politics,user_5387,44,111,91,https://twitter.com/user_5387/status/100030,wikipedia,True
874083,2021-02-18,ChatGPT vs Wikipedia — which do you trust more for machine learning?,user_2556,4,35,80,https://twitter.com/user_2556/status/100031,wikipedia,True
874084,2020-06-17,Just edited a machine learning article on Wikipedia. Community effort rocks.,user_7576,466,18,92,https://twitter.com/user_7576/status/100032,wikipedia,True
874085,2022-10-09,Wikipedia's open source page is completely wrong and biased.,user_3824,94,135,17,https://twitter.com/user_3824/status/100033,wikipedia,True
874086,2024-06-08,Donated to Wikimedia today — history deserves accurate info free for all,user_1598,408,197,80,https://twitter.com/user_1598/status/100034,wikipedia,True
874087,2020-04-26,AI is replacing Wikipedia for machine learning lookups tbh,user_7683,15,169,97,https://twitter.com/user_7683/status/100035,wikipedia,True
